iter	CatBoostEvalMetricPearson	RMSE
598	0.88984469	0.09409741723
599	0.8902302539	0.0939669621
600	0.8905270536	0.09387767165
601	0.890656282	0.09383015139
602	0.8907830252	0.09376501166
603	0.8910651579	0.093665479
604	0.8912879262	0.09358508248
605	0.8914009139	0.09354967728
606	0.8916744393	0.09345463963
607	0.8916974659	0.09344442696
608	0.8917215205	0.09343001496
609	0.8918969179	0.09337095521
610	0.8919203697	0.09336085165
611	0.8920340425	0.09331899027
612	0.892050761	0.09331186649
613	0.8920601219	0.09330551304
614	0.8923452958	0.09320354492
615	0.8925637788	0.09312172995
616	0.8927422073	0.09305581848
617	0.8929058515	0.09299300193
618	0.8930715039	0.09290831602
619	0.8934079255	0.09279700804
620	0.8935665207	0.09273947993
621	0.8937491058	0.0926699426
622	0.8939540095	0.09257808
623	0.8940982969	0.09253099398
624	0.8942837107	0.09247164145
625	0.8942993255	0.09246479325
626	0.8943467293	0.0924507817
627	0.8943606486	0.09244213104
628	0.8945741446	0.09237124496
629	0.8948909195	0.09226331384
630	0.8950759681	0.09220432713
631	0.8954080772	0.09209386674
632	0.8956639029	0.09200505285
633	0.8957503974	0.09197125177
634	0.8960104208	0.09188793523
635	0.8960177374	0.0918813949
636	0.8962535282	0.09178904914
637	0.8965691617	0.09168092157
638	0.8966165378	0.09165047579
639	0.8968072214	0.09157491227
640	0.8968624589	0.09155155553
641	0.8970293131	0.09149996977
642	0.8973767189	0.09137449676
643	0.8977173372	0.09125813674
644	0.8978304616	0.09121703619
645	0.8978387904	0.09121308258
646	0.8979839925	0.09115741534
647	0.8983599664	0.09102803352
648	0.8985538804	0.09094880602
649	0.8987271459	0.09087421286
650	0.8990364429	0.09076129763
651	0.899153391	0.09071811755
652	0.8993179684	0.09065438686
653	0.8994705628	0.09059072512
654	0.8997669326	0.09046464117
655	0.8997769118	0.09045633854
656	0.9001144595	0.09034215904
657	0.900280139	0.09028172689
658	0.9002890826	0.09027266597
659	0.9005571009	0.09017412609
660	0.9008891424	0.09005297459
661	0.9011299252	0.08995314757
662	0.9013389809	0.08986555264
663	0.9014139503	0.08983350908
664	0.901698622	0.08972593791
665	0.9017684583	0.08970591318
666	0.9017715469	0.08969947259
667	0.9019363691	0.08964648478
668	0.9020779009	0.08960160564
669	0.902204773	0.08955239999
670	0.9022916755	0.08950988981
671	0.9024241579	0.08945958422
672	0.9025203036	0.08941338459
673	0.9025330768	0.08940675874
674	0.9027917228	0.0893130322
675	0.902885466	0.08926785576
676	0.9030899209	0.08921652108
677	0.9033084016	0.08912330467
678	0.903501981	0.08904596482
679	0.9038436359	0.08893586844
680	0.9038694706	0.08892646523
681	0.9042199112	0.08880542501
682	0.9044216321	0.0887282877
683	0.9045511021	0.08867730838
684	0.9045757779	0.0886667224
685	0.9048482093	0.08856694314
686	0.9050011549	0.08850540666
687	0.9052397478	0.0884257348
688	0.905484772	0.08834051122
689	0.9055778713	0.08830713668
690	0.9056516902	0.08827356011
691	0.905990901	0.08814425904
692	0.9061124194	0.08809276808
693	0.9062255277	0.08805269941
694	0.9065636814	0.08792206535
695	0.9067251677	0.0878598464
696	0.9070224381	0.08775939646
697	0.9070310325	0.08775474689
698	0.9071845878	0.08768928352
699	0.9073337058	0.08761907267
700	0.9074036579	0.08758890064
701	0.9075488107	0.08753737681
702	0.9077504669	0.0874437705
703	0.907847682	0.08740361311
704	0.9079187856	0.08735118197
705	0.908113623	0.08727251268
706	0.9081190205	0.08726854435
707	0.9083096498	0.0871964851
708	0.9084413485	0.08714139281
709	0.9085415075	0.08709472329
710	0.9085902596	0.08706791949
711	0.9086950351	0.08702822599
712	0.9089723363	0.08692139296
713	0.9091465267	0.08686257015
714	0.9093832198	0.08677788976
715	0.9094503159	0.08673038879
716	0.9095369695	0.08668582616
717	0.909554875	0.08667772203
718	0.9096075157	0.08664833588
719	0.9096447218	0.08661350389
720	0.9097850231	0.08655197122
721	0.9097981781	0.08654652135
722	0.9100610882	0.086446407
723	0.9102921851	0.08636323957
724	0.9104463169	0.08629498501
725	0.910576849	0.08624055688
726	0.9107738562	0.08615852219
727	0.9108880833	0.08611415015
728	0.9109424161	0.08609171992
729	0.9111015029	0.08603016391
730	0.9111041122	0.08602371622
731	0.9112238609	0.08596520495
732	0.911442444	0.08588302755
733	0.9115066518	0.08585673433
734	0.9115287366	0.0858492027
735	0.9117331099	0.08576790147
736	0.9117537641	0.08575811511
737	0.9117784222	0.085747977
738	0.9119322942	0.08567724616
739	0.912229734	0.08556843368
740	0.9122450459	0.08556086256
741	0.9124113329	0.08548976697
742	0.9124254519	0.08548385514
743	0.9125792488	0.08541697504
744	0.9127751829	0.08533969662
745	0.9127867474	0.0853319824
746	0.913067531	0.08523219103
747	0.9131115246	0.0852145551
748	0.9132314586	0.08516335355
749	0.9133035898	0.08512705638
750	0.9135577582	0.08503372506
751	0.9138568207	0.08491364381
752	0.9139272177	0.08488315303
753	0.9139682248	0.08486521818
754	0.9140477222	0.0848244841
755	0.9140550489	0.08482109445
756	0.914119415	0.08479033706
757	0.9143057727	0.0847060386
758	0.9144938988	0.08463144714
759	0.9145160898	0.08462223082
760	0.9146635997	0.08455611801
761	0.9148835982	0.08446252745
762	0.9150543622	0.08439295243
763	0.91522656	0.08432915768
764	0.9154027451	0.08425535261
765	0.9156761915	0.08414008283
766	0.9157547862	0.08409446772
767	0.9159972493	0.0839736062
768	0.9162067288	0.08388443084
769	0.916310357	0.08383420648
770	0.916309301	0.08382887137
771	0.9164800338	0.08377546768
772	0.9165247167	0.08375972851
773	0.9166706834	0.08370212779
774	0.916812217	0.08363718988
775	0.9168206595	0.08363223982
776	0.9170011761	0.08355438673
777	0.9171955594	0.08347221713
778	0.9175241468	0.083341056
779	0.917724345	0.08327947685
780	0.9177290282	0.08327511807
781	0.9177346803	0.08327192463
782	0.9177926073	0.08324113179
783	0.9179751013	0.08316022709
784	0.9181745813	0.083083833
785	0.9182859956	0.08303443635
786	0.9183655059	0.08300574442
787	0.9186072142	0.08289035703
788	0.9189462572	0.08274549914
789	0.9189834859	0.08272435859
790	0.9191295535	0.08266700079
791	0.9191400445	0.08266117394
792	0.9192239361	0.08262913856
793	0.9195201428	0.08250110302
794	0.9196495058	0.08243698119
795	0.9196597996	0.08243048599
796	0.9196770065	0.08242467408
797	0.9199092017	0.08233141199
798	0.9199999993	0.08228571844
799	0.920138055	0.08222833114
800	0.9202955733	0.0821703049
801	0.9203066391	0.08216481896
802	0.9204125826	0.08213976137
803	0.9204832505	0.0821090536
804	0.9205340299	0.08209052023
805	0.9207599293	0.08199005667
806	0.9207738954	0.08198346835
807	0.920985863	0.08189251599
808	0.9210472683	0.08185238744
809	0.9211664821	0.08180464391
810	0.9213657012	0.08170199292
811	0.9215101228	0.08163521526
812	0.9215405588	0.08161821364
813	0.9216692306	0.08156210274
814	0.9217663849	0.08152076881
815	0.92178476	0.08150880542
816	0.9219342418	0.08145171038
817	0.9221020437	0.08137598034
818	0.9223973864	0.0812559406
819	0.9226728666	0.08114678447
820	0.9226827083	0.08113943381
821	0.9229326119	0.08104256353
822	0.9230629449	0.08098713502
823	0.9232032997	0.08093233674
824	0.9232153949	0.0809232505
825	0.9233867568	0.08085180417
826	0.9236166378	0.08075100026
827	0.9238885818	0.08063780727
828	0.9240232175	0.08057308977
829	0.9242516174	0.08046781125
830	0.9245134051	0.08036870303
831	0.92464346	0.08030574174
832	0.9248182609	0.08022132304
833	0.9249804705	0.08015543804
834	0.924979857	0.08014925026
835	0.9251788156	0.08006067956
836	0.9252174867	0.08003917901
837	0.9252228812	0.08003426348
838	0.9252293219	0.0800308039
839	0.9252389279	0.08001676689
840	0.9254729132	0.07991593793
841	0.9255030935	0.07989828087
842	0.9255142026	0.07989138981
843	0.9257029932	0.07981008016
844	0.925794257	0.07977584385
845	0.926052291	0.07966339469
846	0.9260645289	0.07965776392
847	0.9262025748	0.07959954503
848	0.9263869598	0.07952051249
849	0.9264066765	0.07951023547
850	0.9264740299	0.07947353253
851	0.9264824866	0.07946713792
852	0.9264898034	0.07946255433
853	0.9266961386	0.0793882304
854	0.9267224576	0.07937710193
855	0.9268226778	0.07932275661
856	0.9269615462	0.07924444755
857	0.9270298739	0.07918949336
858	0.9272627549	0.07908752551
859	0.927401932	0.07901752044
860	0.9274078001	0.07901282483
861	0.9274302978	0.07900352027
862	0.9276000966	0.07892956159
863	0.9278260155	0.07883687603
864	0.9278558003	0.07881902734
865	0.9278992251	0.07879722063
866	0.9280296808	0.07873669675
867	0.9280708019	0.0787199146
868	0.9282417561	0.07863407065
869	0.9284212609	0.0785515442
870	0.9284740252	0.07851837307
871	0.9285358382	0.07848728379
872	0.9285383504	0.07848601035
873	0.9288040121	0.0783813971
874	0.9289697862	0.07832037024
875	0.9289748285	0.07831633851
876	0.9290870814	0.07826400975
877	0.9293091505	0.07817131965
878	0.9293538559	0.07814869763
